country,exports,imports,gdpp
India,500,600,1810
China,1000,1100,13000
Indonesia,450,500,2970
Pakistan,300,350,1820
Bangladesh,200,250,1480
Vietnam,700,800,2520
Nepal,50,60,1020
Myanmar,150,180,1300
Sri Lanka,400,450,4340
Cambodia,250,300,1240
Iran,800,900,11500
North Korea,50,60,1000
Afghanistan,70,80,830
Japan,10000,12000,39000
Japan,10000,12000,39000
South Korea,7000,,27000
Taiwan,5000,6000,22000
Thailand,3000,3500,6200
Malaysia,4000,4500,10600
Singapore,8000,9000,56000
Philippines,2000,2500,3200
Hong Kong,9000,10000,34000
Mongolia,200,250,2900
Laos,150,180,1680
Brunei,1000,1200,19600
Timor-Leste,50,60,900
Maldives,500,600,9500
Bhutan,250,300,2220
Kuwait,8000,9000,41000
